Customer_ID,Age,Monthly_Income,Loan_Amount,Loan_Type,Credit_Score,Loan_Status
C1001,21,62824,170659,Personal,643,Default
C1002,57,126944,856617,Business,412,Paid
C1003,37,36875,1370393,Vehicle,856,Paid
C1004,44,46528,2842731,Vehicle,582,Default
C1005,53,128824,433280,Vehicle,366,Default
C1006,34,131028,1137195,Personal,416,Default
C1007,54,105121,1884437,Vehicle,688,Paid
C1008,45,140980,757531,Home,849,Paid
C1009,24,84905,221698,Business,890,Paid
C1010,22,100933,2782081,Home,591,Default
C1011,43,100638,161447,Vehicle,424,Default
C1012,21,53007,1875141,Personal,493,Default
C1013,46,23296,473944,Vehicle,726,Paid
C1014,29,88335,915682,Vehicle,688,Paid
C1015,49,74628,1570243,Home,568,Default
C1016,23,63972,2230165,Business,685,Paid
C1017,60,125064,1654768,Personal,612,Paid
C1018,45,39619,1449313,Home,608,Paid
C1019,41,39267,1088514,Vehicle,697,Default
C1020,46,92910,732464,Vehicle,616,Paid
C1021,33,82064,732030,Home,426,Paid
C1022,34,141686,1769597,Vehicle,897,Paid
C1023,33,111398,2505994,Home,446,Paid
C1024,43,119716,653479,Business,697,Paid
C1025,29,92348,98447,Home,391,Paid
C1026,50,135957,2293653,Vehicle,400,Paid
C1027,60,29015,2476405,Vehicle,667,Paid
C1028,58,131944,1415806,Business,640,Paid
C1029,49,25461,667462,Business,779,Paid
C1030,25,44211,1516096,Vehicle,600,Paid
C1031,22,114102,1465612,Business,377,Paid
C1032,48,42515,2784107,Personal,793,Default
C1033,56,147553,1315786,Personal,375,Default
C1034,22,95291,942939,Personal,737,Default
C1035,59,71301,1816865,Business,364,Paid
C1036,42,69158,1740455,Business,714,Paid
C1037,54,72290,2301650,Business,741,Paid
C1038,52,29797,2616382,Vehicle,558,Default
C1039,42,21017,2721752,Business,396,Paid
C1040,33,48197,2848639,Vehicle,886,Paid
C1041,31,142079,2921675,Home,807,Paid
C1042,41,22796,1912655,Personal,672,Paid
C1043,26,130747,1276395,Home,472,Paid
C1044,38,60828,449757,Business,367,Paid
C1045,47,146566,1807338,Business,772,Paid
C1046,35,119432,696005,Home,582,Default
C1047,56,59031,2221416,Home,503,Default
C1048,53,53532,2477946,Personal,612,Default
C1049,28,22380,2965510,Personal,689,Default
C1050,33,134425,2172146,Personal,488,Default
C1051,42,45312,1756561,Home,468,Paid
C1052,51,89782,257565,Personal,717,Paid
C1053,52,62577,1748230,Home,789,Paid
C1054,31,102328,1045426,Business,386,Default
C1055,39,81150,2625159,Personal,428,Paid
C1056,22,91761,1060179,Business,338,Default
C1057,25,137243,2128859,Business,623,Paid
C1058,45,59409,2605638,Personal,808,Paid
C1059,25,103876,2350812,Vehicle,613,Default
C1060,59,144398,2533974,Home,766,Paid
C1061,58,23548,2813155,Business,726,Paid
C1062,27,110302,264381,Business,794,Paid
C1063,30,106766,2075381,Personal,858,Paid
C1064,29,105298,1413981,Home,427,Paid
C1065,25,106319,2568209,Vehicle,697,Default
C1066,46,33873,1394932,Vehicle,835,Paid
C1067,52,31923,2871729,Home,710,Paid
C1068,23,91268,1932924,Business,724,Paid
C1069,60,147024,843616,Business,433,Paid
C1070,57,24011,1344283,Personal,614,Paid
C1071,23,41607,2259040,Business,563,Default
C1072,27,130160,2452514,Vehicle,304,Paid
C1073,29,29416,1197445,Vehicle,731,Paid
C1074,47,92581,83382,Business,900,Paid
C1075,50,30722,2546156,Vehicle,675,Paid
C1076,41,50282,2264360,Vehicle,732,Paid
C1077,50,36498,648898,Vehicle,680,Paid
C1078,41,101563,573933,Business,598,Default
C1079,51,124366,384997,Vehicle,609,Paid
C1080,44,105739,714720,Vehicle,451,Default
C1081,29,140807,2018399,Business,565,Paid
C1082,26,55542,1805111,Vehicle,775,Default
C1083,60,24161,333592,Personal,637,Default
C1084,52,60292,2259877,Home,744,Paid
C1085,49,89350,1086612,Vehicle,509,Default
C1086,22,121831,657942,Vehicle,417,Paid
C1087,37,109519,445694,Vehicle,640,Paid
C1088,33,142389,1979793,Business,703,Paid
C1089,26,106864,1286401,Vehicle,670,Paid
C1090,42,73178,204172,Personal,609,Paid
C1091,38,105174,1046374,Personal,411,Paid
C1092,40,84813,1783671,Personal,644,Paid
C1093,52,76891,2153225,Home,646,Paid
C1094,39,141097,2761526,Business,541,Default
C1095,52,129388,862560,Personal,616,Paid
C1096,40,114476,1947014,Home,329,Default
C1097,57,24070,942616,Vehicle,796,Paid
C1098,30,72485,847894,Business,897,Paid
C1099,52,123907,2770936,Business,774,Paid
C1100,24,109376,2054233,Home,507,Default
C1101,21,128296,658616,Vehicle,684,Paid
C1102,53,28914,422590,Business,711,Paid
C1103,55,35663,1638847,Vehicle,617,Paid
C1104,35,114627,560423,Business,503,Default
C1105,44,46316,2324124,Business,301,Default
C1106,43,140064,1428222,Business,545,Default
C1107,46,124093,1834104,Vehicle,348,Paid
C1108,41,118359,2644151,Vehicle,585,Default
C1109,30,139751,1931423,Business,541,Default
C1110,30,146061,2580328,Business,641,Paid
C1111,32,145727,846727,Vehicle,474,Default
C1112,36,122959,2001538,Home,766,Paid
C1113,32,131155,2455871,Personal,817,Paid
C1114,50,68353,1090296,Business,513,Default
C1115,45,39414,236999,Vehicle,646,Paid
C1116,31,67674,1830282,Vehicle,818,Paid
C1117,55,84047,1555087,Personal,883,Paid
C1118,57,52431,1051665,Vehicle,697,Paid
C1119,33,135204,1694232,Home,660,Paid
C1120,21,147226,312779,Home,640,Paid
C1121,59,134437,362662,Home,814,Paid
C1122,51,102980,1631068,Vehicle,894,Paid
C1123,39,95770,1365058,Vehicle,421,Paid
C1124,39,136546,2787204,Business,689,Paid
C1125,47,58519,1979260,Personal,825,Paid
C1126,49,104795,1351097,Vehicle,494,Default
C1127,54,136479,2196425,Business,546,Default
C1128,21,53494,2101443,Personal,378,Paid
C1129,47,108292,881070,Home,408,Default
C1130,26,130751,835172,Personal,852,Paid
C1131,27,106223,2710782,Business,725,Paid
C1132,22,111937,1300737,Vehicle,546,Default
C1133,41,55241,2238186,Business,830,Default
C1134,27,24796,364849,Business,774,Paid
C1135,48,102871,2740245,Home,592,Default
C1136,59,24478,2097947,Vehicle,599,Paid
C1137,51,147981,2856370,Business,319,Paid
C1138,58,21399,1840450,Vehicle,750,Paid
C1139,48,135574,1156838,Personal,303,Paid
C1140,46,93089,1092408,Vehicle,576,Paid
C1141,43,33050,2709256,Vehicle,856,Paid
C1142,36,91157,2086224,Business,622,Paid
C1143,22,70267,1745160,Business,391,Default
C1144,30,90199,1565313,Vehicle,754,Paid
C1145,59,89038,796843,Vehicle,873,Paid
C1146,48,104817,2213274,Home,632,Paid
