ReviewID,CustomerID,ProductID,ReviewDate,Rating,ReviewText,SentimentScore,SentimentCategory,SentimentBucket,IssueCategory
12,77,2,2025-01-13,2,Product  did    not  meet  my  expectations.,0.0,Negative,0.0 to 0.49,Unmet Expectations
20,34,6,2023-04-29,1,I  had  a  bad  experience  with  this  product.,-0.5423,Negative,-1.0 to -0.5,Product Performance
50,62,4,2023-01-07,1,The  product  stopped  working  after  a  month.,-0.2263,Negative,-0.49 to 0.0,Durability
57,41,10,2024-04-06,2,Disappointed  with  the  performance.,-0.4767,Negative,-0.49 to 0.0,Product Performance
58,78,7,2024-07-16,2,"The  product    is  okay,  but  the  instructions  were  unclear.",-0.2617,Negative,-0.49 to 0.0,Usability
62,35,17,2023-03-18,2,"Average  experience,  nothing  special.",-0.3089,Negative,-0.49 to 0.0,Unmet Expectations
65,34,3,2024-06-15,1,Not  worth  the  money.,-0.1695,Negative,-0.49 to 0.0,Product Cost
79,84,15,2024-05-28,2,The  product  arrived    late.,0.0,Negative,0.0 to 0.49,Delivery
99,79,16,2025-01-29,2,"Average  experience,  nothing  special.",-0.3089,Negative,-0.49 to 0.0,Unmet Expectations
105,32,12,2024-08-27,2,The  product    arrived  late.,0.0,Negative,0.0 to 0.49,Delivery
106,94,17,2024-02-25,2,"Average  experience,  nothing  special.",-0.3089,Negative,-0.49 to 0.0,Unmet Expectations
113,27,9,2024-03-31,2,Disappointed  with  the  performance.,-0.4767,Negative,-0.49 to 0.0,Product Performance
114,52,19,2025-05-04,2,"Average  experience,  nothing  special.",-0.3089,Negative,-0.49 to 0.0,Unmet Expectations
118,59,6,2024-05-01,1,The  product  arrived  late.,0.0,Negative,0.0 to 0.49,Delivery
122,83,14,2024-09-27,2,Not  worth  the  money.,-0.1695,Negative,-0.49 to 0.0,Product Cost
128,71,20,2023-12-13,2,"Average  experience,  nothing  special.",-0.3089,Negative,-0.49 to 0.0,Unmet Expectations
132,21,7,2025-11-13,2,Product  did  not  meet  my  expectations.,0.0,Negative,0.0 to 0.49,Unmet Expectations
147,100,20,2025-01-25,2,"Average  experience,  nothing  special.",-0.3089,Negative,-0.49 to 0.0,Unmet Expectations
148,17,18,2024-11-05,1,"Average  experience,  nothing  special.",-0.3089,Negative,-0.49 to 0.0,Unmet Expectations
157,10,17,2025-10-14,2,The  product  arrived  late.,0.0,Negative,0.0 to 0.49,Delivery
160,71,9,2024-01-02,2,Not  worth  the  money.,-0.1695,Negative,-0.49 to 0.0,Product Cost
161,9,18,2025-08-05,2,The  product  arrived    late.,0.0,Negative,0.0 to 0.49,Delivery
